NC(=O)CN(CCC1=CC=C(Cl)C=C1)C(=O)C1CC(=O)N(CCC2=CC=C(Cl)C=C2Cl)CC(=O)N1CCC(C1=CC=CC=C1)C1=CC=CC=C1,CSCC(C)(C)C1=NN(C2=CC=C(O)C(Cl)=C2)C(NC(=O)NCC2=CC=CC=C2SC2=CN3C(C4=CC=CC=C4OCCO)=NN=C3C=C2)=C1,CC(C)(C)NC(=O)NC1=NC(Cl)=C(CCC2CCCCC2)N(CC(=O)NC2=CC=CC=C2C(=O)NS(=O)(=O)C2=CC=C(C(F)(F)F)C=C2)C1=O,CC1=CC(C(=O)NC(C(=O)NC(CC2=CC=C(F)C=C2)C(=O)NC(C=CC(=O)OCC2=CN3C(C)=CC=CC3=N2)CCC(N)=O)C(C)C)=NO1,CC1=CC=C(S(=O)(=O)NC2=CC=C3OC(C)CCCCOC(CN(C)CC4=CC=C(C(F)(F)F)C=C4)C(C)CN(C(C)CO)C(=O)C3=C2)C=C1,
CCCCCCC(N)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NCC(=O)NCC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(C)C)C(N)=O,CCC12C3=C(CCN1C(=O)C(CC(=O)NCC14CC5CC(CC(C5)C1)C4)CC2C(=O)N1CCN(C(=O)C2CC2)CC1)C1=CC(OC)=CC=C1N3,CC(=O)C1(O)CC2=C(O)C3=C(C(=O)C4=C(O)C=CC=C4C3=O)C(O)=C2C(OC2CC(NC(=O)C(C)NC(=O)C(N)CC(C)C)C(O)C(C)O2)C1,COC1=CC=C(N2N=C(C(=O)NC3=CC=C(OC4=CC=NC5=CC(OCCCN6CCC(C)CC6)=C(OC)C=C45)C(F)=C3)C(C)=CC2=O)C=C1,O=C(OC1CC(O)(C(=O)O)CC(O)C1O)C1=CC2=CC(O)=C(O)C=C2C(C2=CC=C(O)C(O)=C2)C1C(=O)OC1CC(O)(C(=O)O)CC(O)C1O,
CCCC1=NN(C2=CC(NC(=O)C3=CC=CC=C3)=CC=C2Br)C(=O)N1CC1=CC=C(C2=CC=CC=C2S(=O)(=O)NC(=O)OC(C)(C)C)C=C1F,CC(C)CC(NC(=O)C(CC(=O)O)NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(NC(=O)C(C)CC1=CC=CC=C1)C(C)C)C(C)C)C(=O)O,CC(C)C(=O)N1CCC(CCC(NS(=O)(=O)CC2=CC=CC=C2)C(=O)NC(CCC2CCNCC2)C(=O)NCC2=CC=C(C(=N)N)C=C2)CC1,NCCOC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C1=CC=C(F)C=C1F,CC1CCC2C(C)C(CC(OC(=O)NC3=CC=CC=C3)C3OC4OC5(C)CCC6C(C)CCC(C3C)C46OO5)OC3OC4(C)CCC1C32OO4,
COC1=CC=C(C2=CC=NC(C(=O)NC3=CC=C(OC4=CC=NC5=CC(OCCCN6CCN(C)CC6)=C(OC)C=C45)C(F)=C3)=C2)C(OC)=C1,OC1=CC=C2CC3N(CC4CC4)CCC45C2=C1OC4C(=NN=C1CCC2(O)C4CC6=CC=C(O)C7=C6C2(CCN4CC2CC2)C1O7)CCC35O,CC1(C)CCC2=C(C=CC3=C2C(=O)C(O)=C(C2=C(C4=C(O)C(=O)C5=C6CCC(C)(C)OC6=CC=C5C4=O)C(=O)C4=CC=CC=C4C2=O)C3=O)O1,CC(C)CN(CC(O)C(CC1=CC=C(OCC2=CC=CC(C#N)=C2)C=C1)NC(=O)OC1COC2OCCC12)S(=O)(=O)C1=CC=C2OCOC2=C1,COC(=O)NC(C(=O)NN(CC1=CC=CC(C2=CC=CC=N2)=C1)CC(O)(CC1=CC=CC=C1)C(=O)NC1C2=CC=CC=C2CC1O)C(C)(C)C,
CC1CCCCOC(CN(C)C(=O)C2=CC=CC=C2)C(C)CN(C(C)CO)C(=O)C2=CC(NC(=O)NC3=CC=C(C(F)(F)F)C=C3)=CC=C2O1,CC(C)OC(=O)C(O)C(CC1CCCCC1)NC(=O)C(CC1=CNC=N1)NC(=O)C(CC(=O)N1CCOCC1)CC1=CC=CC2=CC=CC=C12,CC1=NOC(C)=C1NC(=O)NC1=CC=C2OCCCCCOC(CN(C)S(=O)(=O)C3=CC=C(F)C=C3)C(C)CN(C(C)CN(C)C)C(=O)C2=C1,CCOC(=O)C1OC1C(=O)N(CC(=O)O)NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)OCC1=CC=CC=C1)C(C)C,C=C(C)C1CCC2(C(=O)NC(CC(C)C)C(=O)O)CCC3(C)C(CCC4C5(C)CCC(OC(=O)CC(C)(C)C(=O)O)C(C)(C)C5CCC43C)C12,
CC1CN(C(C)CO)C(=O)CC2=CC(NS(=O)(=O)C3=CC=C(F)C=C3)=CC=C2OC1CN(C)CC1=CC=C(C(=O)NC2=CC=CC=C2N)C=C1,C=C(C)C12CC(C)C34OC(CC5=CC=CC=C5)(OC1C3C=C(COC(=O)OC1=CC=C(NS(C)(=O)=O)C(OC)=C1)CC1(O)C(=O)C(C)=CC14)O2,CCN(CC)CCN(CC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1)C(=O)CN1C(CCC2=C(F)C=CC(F)=C2F)=NC(=O)C2=CC=CC=C21,COC1=CC=C(CC(NC(=O)C2=CC=C(C(=N)N)C=C2)C(=O)N2CCN(CC(=O)O)C(=O)C2CCCNC(=O)C2=CC=C(C(=N)N)C=C2)C=C1,CC1CN(CCC(C(=O)NCC2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C2=CSC(NC(=O)C3=CC=CN=C3)=N2)CCC12C=CC1=CC=CC=C12,
CCCCCCCCCC=CCCC=CC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCCCCC,C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)C(OC(=O)OCCCCCCCCC)C2O)C(OC(C)=O)C(C)CC1=CC=CC=C1,CCC1OC(=O)C(C)C(OC(=O)CC2=CC=CN=C2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NO)C(C)C(O)C1(C)O,O=C(O)C1=CN(CC2=CC=C(C(F)(F)F)C=C2)C2=CC(N3CCN(C(C4=CC=CC=C4)C4=NN=NN4C4CCCCC4)CC3)=C(F)C=C2C1=O,C=CC[N+]12CCC3C4C5C(CC31)C(=CCOC5N1C3=CC=CC=C3C35CC[N+]6(CC=C)CC7=CCOC(C(C7CC36)C15)N4C1=CC=CC=C1)C2,
CC1=CC(O)=C2C3=C(C=CC2=C1)C(=O)C1=C(C3=O)C(O)=CC=C1OC1CC(O)C(OC2CC(OC3CCC(O)C(C)O3)C(O)C(C)O2)C(C)O1,CN1C=C(C2=CC=C(S(=O)(=O)C3CC(C(=O)NC4(C#N)CC4)N(C(=O)C4(C5=NC=C(Cl)C=C5F)CCN4C(=O)OC(C)(C)C)C3)C(Cl)=C2)C=N1,CC1=CC(C(=O)NC(C(=O)NC(CC2=CC=C(F)C=C2)C(=O)NC(C=CC(=O)OCC2=CC=NC3=CC=CC=C23)CCC(N)=O)C(C)C)=NO1,CC(C)CC(=O)NC(CC1=CNC=N1)C(=O)NC(C(=O)NCC(=O)N1CCCC1C(=O)NC1CCCC1C(=O)NCC1=CC=CC=C1)C(C)C,CCCC(NC(=O)C1C2CCCC2CN1C(=O)C(NC(=O)C(CC1CCCCC1)NC(=O)C1=CN=CC=N1)C(C)(C)C)C(=O)C(=O)NC1CC1,
CC(=O)NC1=CC(COC2OC(COC(=O)C3=CC=CC=C3)C(OC3OC4COC(C5=CC=CC=C5)OC4C(O)C3O)C(O)C2O)=CC=C1Cl,COC1=CC=C(CNC(C(=O)NC2C3=CC=CC=C3CC2O)C(O)C(CC2=CC=CC=C2)NC(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C=C1,C=C(C)C12CC(C)C34OC(CC5=CC=CC=C5)(OC1C3C=C(COC(=O)CC1=CC=C(NS(C)(=O)=O)C(OC)=C1)CC1(O)C(=O)C(C)=CC14)O2,NC1=NC(C(=NOCCSC2=NN=C(C3=CC(=O)C(O)=CN3)O2)C(=O)NC2C(=O)N3C(C(=O)O)=C(C[N+]4=CC=C(C(=O)O)C=C4)CSC23)=CS1,CC(C)CCCC(C)C1CCC2C3CCC4CC(OC5OC(CO)C(OC6OC(CO)C(O)C(O)C6O)C(O)C5O)CCC4(C)C3CCC12C,
C=C1C(OC(=O)C=CC2=CC=CC=C2)CC(OC(C)=O)C2(C)C(OC(C)=O)C(OC(C)=O)C3(O)C4(C)OCC3(C)C(CC4=O)C(OC(C)=O)C12,C=C(C)C(=O)OC1=CC=C2C=C1OC1=CC=C(C=C1)CC1C3=C(C=C(OC)C(=C3)OC3=C4C(=CC(OC)=C3OC)CCN(C)C4C2)CCN1C,CC(C)CCN1N=CN(C2=CC=C(N3CCN(C4=CC=C(OCC5COC(CN6C=NC=N6)(C6=CC=C(Cl)C=C6Cl)O5)C=C4)CC3)C=C2)C1=O,COC1=C(OC)C=C2C(=C1)CC1C(C#N)N3C(CNC(=O)C=CC4=CC=C(C5=CC=CC=N5)C=C4)C4=C(C=C(OC)C(OC)=C4)CC3C2N1C,N#CC1(C(=O)C2=CNC3=CC=CC=C23)C2CSCN2C2(C(=O)NC3=CC=C([N+](=O)[O-])C=C32)C1C1=CN(C2=CC=CC=C2)N=C1C1=CC=CC=C1,
